title,image,price,ordered,image_path,material,sleeve_length,product_type,color,size,style_type,fit_type,special_feature,target_gender
Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Khaki / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSizeDw52NkGVAMaMUGT6U818Nb3uPqBAT97ZHVtriYqdpCLH7psFCIqx6DmA,33.26,0,image\image_20.jpg,Linen,Short Sleeve,Shirt,Khaki,L,Casual,Unknown,None,Men
Men's Premium Washed Cotton Pocket Shirt Pink / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcT3f_lhsyaPXJgRIpkDfHoA4zsT981rm0zr3703RVDimjx3v-RyvkBdE2WcuA,61.87,1,image\image_21.jpg,Cotton,Unknown,Shirt,Other,L,Unknown,Unknown,Pocket,Men
Classic Wrinkle-Free Dress Shirt (US Only) Black / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcQno57gdyGfM2hC0R19hwj4hdWtRJdqfQ64Zl8ypd1gl0JmPZYq1dX30xEFKg,29.45,1,image\image_22.jpg,Unknown,Unknown,Shirt,Black,L,Formal,Unknown,None,Unknown
Long Sleeve Button Down Flannel Shirt (US Only) Army Green / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTnO60_gzQLDyAOl1imnp8uRYv7UL8fbMkHlgnY5LvUBXLopTHrRwXXNzTpAA,29.46,0,image\image_23.jpg,Flannel,Long Sleeve,Shirt,Green,L,Unknown,Unknown,None,Unknown
Men's Linen Long Sleeve Shirts Blue / 5XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSzLQy6QflQ-h3wYkfQYIbv9M4htavjIbwa4t_L00JSlIHp8wQp-syUzTkco2U,35.21,1,image\image_24.jpg,Linen,Long Sleeve,Shirt,Blue,5XL,Unknown,Unknown,None,Men
Essential Muscle Fit Dress Shirt Burgundy / XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSVn6lHKrYmIk_eAlguMgkg32mdpD_BbR4BubJLKk12VikiM4uz1_Lldm-JQE0,63.24,1,image\image_25.jpg,Unknown,Unknown,Shirt,Other,XL,Formal,Slim,None,Unknown
Long Sleeve Button Down Flannel Shirt (US Only) Black / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSvp58A8RD_nLqoh7EzpL1z4-Cko0YWjsXf_Uo9HtSPdOihOO3x5YpvFjXUWQ,29.3,1,image\image_26.jpg,Flannel,Long Sleeve,Shirt,Black,L,Unknown,Unknown,None,Unknown
Casual Loose Fit Shirt Sets (US Only) Khaki / XXL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRtB1pu07-9FmiIDQPw_Q5iyw-fvlMYkK8kaz7P1Cu9qW7RcyBSVKXm2H_k,50.7,1,image\image_27.jpg,Unknown,Unknown,Shirt Set,Khaki,2XL,Casual,Relaxed,None,Unknown
Casual Linen Skin-friendly Shirts (US Only) Dark Grey / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcRwc4dWA5q4VUD1dNjqkd9fxlx1umr4W22VCNjVvo5VpKgvCF5RdkqyHjEWZG07YU3bpXy3980,34.54,0,image\image_28.jpg,Linen,Unknown,Shirt,Grey,L,Casual,Unknown,None,Unknown
Short Sleeve Collarless Golf Polo Shirts (US Only) Red / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcS_1qVn_pJHFv-f2_yzjhUuxv0AFlUyFpTblJy5ZQWcLFpaRTKe7H6J_Gt0jQ,27.87,1,image\image_29.jpg,Unknown,Short Sleeve,Polo,Red,M,Sport,Unknown,None,Unknown
Casual Loose Fit Shirt Sets (US Only) Dark Green / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcTE2dENGxAAaVCfPm_JkIyVsgwIdT-tv0fzQ7LknXgp3eCIhSESg35lU_uq,54.95,0,image\image_30.jpg,Unknown,Unknown,Shirt Set,Green,L,Casual,Relaxed,None,Unknown
Leisure Textured Shirt Set Red / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQ7Bb_SHETti130smKmouZgSxK18jWQmDEXHdKmlxArskVh6tfdb7_Zq9TNQQ,45.2,1,image\image_31.jpg,Unknown,Unknown,Shirt Set,Red,M,Leisure,Unknown,Textured,Unknown
Men's Ice Silk Shirt Thin Breathable Shirt White / 4XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcS-1C-cShD8O75mXhycil5FDlbXm_J7G_cgQklI4mNjAuFvADLFtpZ32CrVVKQ,34.01,1,image\image_32.jpg,Other,Unknown,Shirt,White,4XL,Unknown,Unknown,None,Men
Long Sleeve Button Down Flannel Shirt (US Only) Wine Red / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSHK-TuPEpHF_PCuRxCAA7PsJCAsFTBvjodgWoy3uuDaciYV2up4R7-dwIDaA,29.79,0,image\image_33.jpg,Flannel,Long Sleeve,Shirt,Dark Red,L,Unknown,Unknown,None,Unknown
Trendy Breathable T-shirt Set White / XXXL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQohm2zptg73DELPCTfpwD95hFaJMC0H0ONe3HDEBQ7nDBmNXNyCs6Xeq9baA,47.21,0,image\image_34.jpg,Unknown,Unknown,Shirt Set,White,3XL,Other,Unknown,None,Unknown
Casual Loose Fit Shirt Sets (US Only) Pink / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcTLrdCXN_wq82v0MjNtWiuLFC454E9o-OeeAAfQW5Nr7WAiN1GRs63r27D6,52.66,0,image\image_35.jpg,Unknown,Unknown,Shirt Set,Other,L,Casual,Relaxed,None,Unknown
Essential Muscle Fit Dress Shirt White / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRK2EJOR11sOJdm7Qh49IQ2Qikf3nJ0LQ1VzARGOQwkfg2ab7IUI29wnpsqKA,67.79,1,image\image_36.jpg,Unknown,Unknown,Shirt,White,M,Formal,Slim,None,Unknown
Men's Vintage Linen Long Sleeve Shirt Navy Blue / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSmAlVmLvX00waHlFFFcZqGZN_ZWn69yFUF9QpgM7wxmyBWO-eycVWOmmKkFA,41.68,0,image\image_37.jpg,Linen,Long Sleeve,Shirt,Navy,L,Vintage,Unknown,None,Men
Cotton Hooded Shirt Shorts Sets Blue / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQEPlIN2K9X5Xq1lpN7dp50o5DM5P7KZf_QeIILnT49aKfI0krWN5c25v0b2w,51.41,0,image\image_38.jpg,Cotton,Unknown,Shirt Set,Blue,L,Unknown,Unknown,None,Unknown
Casual Loose Fit Pure Cotton Sports T-shirt/ Sports Shorts Shorts-Light Grey / 4XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSes7fZWSqRnaNesNaXI625C_I1mEwDs1vYxAUM5jmf1Z-nOMc7uDzjOgwAdg,32.7,0,image\image_39.jpg,Cotton,Short Sleeve,T-Shirt,Grey,4XL,Sport,Relaxed,None,Unknown
Men's Business Casual Checkered Colorblock Short Sleeve Shirts Dark Blue / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRLTzgPwhaHNqXhwiLgnA7w6YKgclNGu1s1USMmLqPlChRCvbcO96IBYausL7M,29.97,0,image\image_40.jpg,Unknown,Short Sleeve,Shirt,Checked/Plaid,M,Business Casual,Unknown,None,Men
Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Green / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSCFhVEGv1pRBBqNIdK7XNzwZAzsIC0Kf__114UgKmRJD0j87mqzg0M0E3zAw,33.07,0,image\image_41.jpg,Linen,Short Sleeve,Shirt,Green,M,Casual,Unknown,None,Men
Casual Wrinkle Free Stretch Shirt (US Only) Blue / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcR8diKw8Llg8gkH1aKH1BEm6EuWuIzC7STQk5NA2C4krxR_qCVdVUozsWyO,32.27,0,image\image_42.jpg,Unknown,Unknown,Shirt,Blue,L,Casual,Unknown,None,Unknown
Men's Linen Long Sleeve Shirts Green / 5XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcRy2g2DKW1wauux5TwoWf2v9kjWGzbdzg64_POXKBnpyNjE36InKr-mNKABXQ,34.06,1,image\image_43.jpg,Linen,Long Sleeve,Shirt,Green,5XL,Unknown,Unknown,None,Men
Easygoing Textured Shirt Shorts Set Beige / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcT0NDY3bIgiCcQz52Rz9nDllbjPOZv0H1z7EXPgs0h1JdSdEXvu48LFS1b6Yg,49.64,0,image\image_44.jpg,Unknown,Unknown,Shirt Set,Other,L,Leisure,Unknown,Textured,Unknown
Essential Muscle Fit Dress Shirt Navy blue / M,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSx62cueLeroDeu2IPnV0Zb-X1VvCokHO7wo4ipAInBmeMKyXektupOX2u_jA,67.12,0,image\image_45.jpg,Unknown,Unknown,Shirt,Navy,M,Formal,Slim,None,Unknown
Casual Cotton Linen Shirt Set Navy Blue / XXL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSqU4_4O1ewXElL4j1XJ-bzubbS2FxtUdaCLA9BYT7X8JIQh_sauEbjnOMi-Q,57.03,0,image\image_46.jpg,Cotton-Linen Blend,Unknown,Shirt Set,Navy,2XL,Casual,Unknown,None,Unknown
Casual Cotton and Linen Shirt Set Sky Blue / S,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQsSEMfe4X0Wj6DlQU6xQBDaLhmgl0vqB9jYRU_6VusxW3rdQ_GiLEaT1FuQw,48.9,0,image\image_47.jpg,Cotton-Linen Blend,Unknown,Shirt Set,Blue,S,Casual,Unknown,None,Unknown
Men's Vintage Linen Long Sleeve Shirt Coffee / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQhelYjXJ8xPK0gFR0057_MX7HUYAA3rexHbLy8w3AbmFbFhngo-GcQDYPkkA,37.47,0,image\image_48.jpg,Linen,Long Sleeve,Shirt,Other,L,Vintage,Unknown,None,Men
Casual Cotton Linen Shirt Set Navy Blue / XL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSqU4_4O1ewXElL4j1XJ-bzubbS2FxtUdaCLA9BYT7X8JIQh_sauEbjnOMi-Q,53.29,0,image\image_49.jpg,Cotton-Linen Blend,Unknown,Shirt Set,Navy,XL,Casual,Unknown,None,Unknown
Subtle Muscle Fit Dress Shirt White / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTZzPGBlWm5H--8uGLeY9K6LJIxqwI3TLq0O6UnkXGoOOxXDDGxDr6qJMGfbaI,81.5,0,image\image_50.jpg,Unknown,Unknown,Shirt,White,M,Formal,Slim,None,Unknown
Men's Short Sleeve Pocket Shirt Blue / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQOZYuWPEGY1pcuvnt_7Zdh5e_1RMsqGjtZYw1SfeUlP9N9Zgl8YWDxkKNR88s,30.54,0,image\image_51.jpg,Unknown,Short Sleeve,Shirt,Blue,L,Unknown,Unknown,Pocket,Men
Men's Summer Solid Color Comfortable V-neck Short-sleeved T-shirt Blue / 3XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQ1q8TnS-AL-TwK4AYKYMAUkCQEMvGN37HF2trdcXrLploUP0eHmbS3ZufEcA,20.47,0,image\image_52.jpg,Unknown,Short Sleeve,T-Shirt,Blue,3XL,Casual,Unknown,None,Men
Men's Cotton Long Sleeve Shirt Purple / 5XL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcRQLPj1zmw8xm6LRCHgOkbOUmNJlyW7wk6IlZAzPo3rleWSQjvZT1_ZXzCfOps,29.73,0,image\image_53.jpg,Cotton,Long Sleeve,Shirt,Other,5XL,Unknown,Unknown,None,Men
Casual Loose Fit Shirt Sets (US Only) Khaki / XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRtB1pu07-9FmiIDQPw_Q5iyw-fvlMYkK8kaz7P1Cu9qW7RcyBSVKXm2H_k,51.26,0,image\image_54.jpg,Unknown,Unknown,Shirt Set,Khaki,XL,Casual,Relaxed,None,Unknown
Effortless Comfort Textured Shirt Set Khaki / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTSpEBC2E41ZV5umV5_V4gVzprp0cwZ1mMloOtTGapJKhP8eZb7IUhSYnpO76BVqVPy1Jk9Kw,70.41,0,image\image_55.jpg,Unknown,Unknown,Shirt Set,Khaki,L,Leisure,Unknown,Textured,Unknown
Cotton Linen Style Stripe Shirts Blue / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQHqdo9IE_xmKK0D2lR2VDB-qksGROSkLaofQ6RgMhsmiWhWB-74bmozpzTMg,29.16,0,image\image_56.jpg,Cotton-Linen Blend,Unknown,Shirt,Blue,L,Unknown,Unknown,None,Unknown
Casual Graphic Cotton Linen Shirt PAT2 / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcT5vJlY8cKz_tvvu-iTMwuehgsjEZu733ql4LkJSQTgXQV3OtHSROksSaTr_w,28.64,1,image\image_57.jpg,Cotton-Linen Blend,Unknown,Shirt,Multi,L,Casual,Unknown,Printed,Unknown
Men's Vintage Linen Long Sleeve Shirt Light Blue / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcRHvVxQzN-3kENYoowhAJ-0jjheOLdPpVhEdpU6GI1ao1p-wo-q8AkNYbVlUQ,38.68,0,image\image_58.jpg,Linen,Long Sleeve,Shirt,Blue,M,Vintage,Unknown,None,Men
Casual Graphic Cotton Linen Shirt PAT1 / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcR-t932BKgmWjEYfulvYTX_uFI_Ltkz8SaTofpH43VYJtBnss194KZxcTn2hg,40.13,0,image\image_59.jpg,Cotton-Linen Blend,Unknown,Shirt,Multi,L,Casual,Unknown,Printed,Unknown
Men's Vintage Linen Long Sleeve Shirt Light Blue / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcRHvVxQzN-3kENYoowhAJ-0jjheOLdPpVhEdpU6GI1ao1p-wo-q8AkNYbVlUQ,40.76,0,image\image_60.jpg,Linen,Long Sleeve,Shirt,Blue,L,Vintage,Unknown,None,Men
Men's Ice Silk Shirt Thin Breathable Shirt White / 5XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcS-1C-cShD8O75mXhycil5FDlbXm_J7G_cgQklI4mNjAuFvADLFtpZ32CrVVKQ,35.72,0,image\image_61.jpg,Other,Unknown,Shirt,White,5XL,Unknown,Unknown,None,Men
Essential Muscle Fit Dress Shirt White / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRK2EJOR11sOJdm7Qh49IQ2Qikf3nJ0LQ1VzARGOQwkfg2ab7IUI29wnpsqKA,66.74,1,image\image_62.jpg,Unknown,Unknown,Shirt,White,L,Formal,Slim,None,Unknown
Men's Washed Distressed Cotton Daily Short-sleeved T-shirt Khaki / 5XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcTk_78w7KfDlbPeOzz-BmbCy9QMz_NRvE29MdSK0igZMmo21sYEkGTkMUlBCik,28.39,1,image\image_63.jpg,Cotton,Short Sleeve,T-Shirt,Khaki,5XL,Casual,Unknown,Washed,Men
Men's Summer Linen Shirt Purple / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTzp57r12Q94vmugn3vIeyop0qFtnN8QZ92iGa5Bjyp2IvqtHMTtkJz5MUw1g,38.81,1,image\image_64.jpg,Linen,Unknown,Shirt,Other,M,Casual,Unknown,None,Men
Vintage Knit Button Up Shirt (US Only) White / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSngTfq15bxF5xZabEDfGxVX-jnQ6FNkJr5wd7Rfmaxh8xJYpQkAIpf6Y8m_8ocsDoNG3ePSqE,31.25,0,image\image_65.jpg,Other,Unknown,Shirt,White,L,Vintage,Unknown,None,Unknown
Leisure Textured Shirt Set Dark Green / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQc857e_RnHRm8N7odR4sXlOy4o7hcQZKbU2nGAU3as--H9AlRDRbtARMHz,42.74,0,image\image_66.jpg,Unknown,Unknown,Shirt Set,Green,M,Leisure,Unknown,Textured,Unknown
Men's Summer Linen Shirt Brown / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcS3puZmDhI5lVPRbc2iPzKfyNAOu39GQCY_5PVqDuvMShaaz8oxGJ3S5AwL_w,36.3,0,image\image_67.jpg,Linen,Unknown,Shirt,Other,L,Casual,Unknown,None,Men
Short Sleeve Collarless Golf Polo Shirts (US Only) Royal Blue / XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSLN5Fe_xS1FxEQaSOR-WlapI7ped0ZoBz1JIu0VYAT2rs00g39AlK0WTEbmQ,27.91,0,image\image_68.jpg,Unknown,Short Sleeve,Polo,Blue,XL,Sport,Unknown,None,Unknown
Vintage-Inspired Geometric Knit Shirt Light Khaki / XXXL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSwY47vJP-tA1iaTyGzDZlHvyZTFJZRu-qvYQsow_7AgX7qZNnQI2fGCDJT,48.87,0,image\image_69.jpg,Other,Unknown,Shirt,Khaki,3XL,Vintage,Unknown,None,Unknown
Everyday Comfort Colorblock Waffle Shirt Black / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcTfW_wOi6vBWaPYbAdkTL_LEHpp6UcQEo7N1TgmMXZpHw-mrm3Z2Q-rb7sw,34.63,1,image\image_70.jpg,Other,Unknown,Shirt,Black,L,Casual,Unknown,Textured,Unknown
Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Pink / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSVnnJxISYty462tK5NVRuPWYs5ytUPykSlnG2e-s7XqFm0efpiLyjDHiv7,34.31,0,image\image_71.jpg,Linen,Short Sleeve,Shirt,Other,M,Casual,Unknown,None,Men
Classic Wrinkle-Free Dress Shirt (US Only) Army Green / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQhRR8EpH4IfgEv_oV-X4lJdi7qm9jj2O0sO9X6PvKfC-DrBIAKCODLSqe1,29.57,0,image\image_72.jpg,Unknown,Unknown,Shirt,Green,L,Formal,Unknown,None,Unknown
Short Sleeve Collarless Golf Polo Shirts (US Only) Navy Blue / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcTT07RIQjmCiUbjoGhKY_gQSMmHdiud3PcDPR8mokKHu-BAjLRGCY7l9E4Evg,28.41,0,image\image_73.jpg,Unknown,Short Sleeve,Polo,Navy,L,Sport,Unknown,None,Unknown
Casual Linen Short Sleeve Shirt Sets (US Only) Blue / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSxINmJhZGLm-gMcoB-R9d9KdHRimV5Qc3MTuvT15U_z6vmLtiu5dee1-ad,44.9,0,image\image_74.jpg,Linen,Short Sleeve,Shirt Set,Blue,L,Casual,Unknown,None,Unknown
Vintage-Inspired Geometric Knit Shirt Green / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSyAZlk6h8DxvreXvCN4iAbpC9awlgxq3Z9HmOTQGIrI0dzPNvRZGau7RH-AA,46.73,0,image\image_75.jpg,Other,Unknown,Shirt,Green,L,Vintage,Unknown,None,Unknown
Leisure Textured Shirt Set White / XXXL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRdIzGbhBTXDJmWzu8FV_Kpz1oSJkVaptr3XsWUeqVs3NCiF4futwMdoe6H3Q,44.99,1,image\image_76.jpg,Unknown,Unknown,Shirt Set,White,3XL,Leisure,Unknown,Textured,Unknown
Casual Linen Style Henley Shirt (US Only) Cream / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSlarK1fJfjEm-4lgE08iSDdVpPgKibXCJLxJ_OZ8ORLt0H9aaECq3HamrWxA,29.38,1,image\image_77.jpg,Linen,Unknown,Shirt,Other,M,Casual,Unknown,None,Unknown
Men's Ice Silk Shirt Thin Breathable Shirt White / M,http://t0.gstatic.com/shopping?q=tbn:ANd9GcS-1C-cShD8O75mXhycil5FDlbXm_J7G_cgQklI4mNjAuFvADLFtpZ32CrVVKQ,35.51,1,image\image_78.jpg,Other,Unknown,Shirt,White,M,Unknown,Unknown,None,Men
Casual Linen Short Sleeve Shirt Sets (US Only) Light Blue / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTGOVtKuRr5kMvq8enBnzZZDf0Yva6tzM1Dbq7pCA7AOMPtXOjVuzLjzQlIVQ,45.3,0,image\image_79.jpg,Linen,Short Sleeve,Shirt Set,Blue,L,Casual,Unknown,None,Unknown
Effortless Comfort Textured Shirt Set Navy Blue / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcS9Z2T6e06Fx9P2F29zSMQwa9JRAa4ssXhR822VmXCG1MuU5ijhbS0LUDGyqK9WTHmecCZgiL4,68.53,0,image\image_80.jpg,Unknown,Unknown,Shirt Set,Navy,L,Casual,Unknown,Textured,Unknown
